,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
0,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397312.013774
1,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397312.031954
2,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397313.034562
3,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397313.050511
4,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397314.052148
5,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397314.068427
6,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397315.068838
7,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397315.083043
8,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397316.084064
9,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397316.100277
10,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397317.103274
11,10.0.2.15,43204,DNS,93,1,162.212.156.148,1521397317.119268
12,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397318.120046
13,10.0.2.15,43204,DNS,99,1,162.212.156.148,1521397318.138889
14,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397319.141493
15,10.0.2.15,43204,DNS,99,1,162.212.156.148,1521397319.15556
16,75.75.75.75,53,DNS,70,0,10.0.2.15,1521397327.434411
17,10.0.2.15,45204,DNS,86,1,75.75.75.75,1521397327.452144
18,75.75.75.75,53,DNS,87,0,10.0.2.15,1521397327.46808
19,10.0.2.15,47111,DNS,157,1,75.75.75.75,1521397327.48311
20,75.75.75.75,53,DNS,69,0,10.0.2.15,1521397330.026521
21,10.0.2.15,51949,DNS,101,1,75.75.75.75,1521397330.045303
22,75.75.75.75,53,DNS,87,0,10.0.2.15,1521397330.103229
23,10.0.2.15,60816,DNS,146,1,75.75.75.75,1521397330.12167
24,75.75.75.75,53,DNS,92,0,10.0.2.15,1521397331.714014
25,75.75.75.75,53,DNS,90,0,10.0.2.15,1521397331.720505
26,75.75.75.75,53,DNS,92,0,10.0.2.15,1521397331.721296
27,75.75.75.75,53,DNS,80,0,10.0.2.15,1521397331.721603
28,75.75.75.75,53,DNS,80,0,10.0.2.15,1521397331.721677
29,75.75.75.75,53,DNS,74,0,10.0.2.15,1521397331.72474
30,75.75.75.75,53,DNS,74,0,10.0.2.15,1521397331.724823
31,75.75.75.75,53,DNS,79,0,10.0.2.15,1521397331.725097
32,75.75.75.75,53,DNS,79,0,10.0.2.15,1521397331.725158
33,10.0.2.15,58999,DNS,151,1,75.75.75.75,1521397331.744245
34,75.75.75.75,53,DNS,79,0,10.0.2.15,1521397331.744649
35,10.0.2.15,53523,DNS,153,1,75.75.75.75,1521397331.744728
36,75.75.75.75,53,DNS,79,0,10.0.2.15,1521397331.744759
37,75.75.75.75,53,DNS,81,0,10.0.2.15,1521397331.745166
38,75.75.75.75,53,DNS,81,0,10.0.2.15,1521397331.745228
39,10.0.2.15,57996,DNS,251,1,75.75.75.75,1521397331.748425
40,10.0.2.15,46118,DNS,250,1,75.75.75.75,1521397331.750473
41,10.0.2.15,57996,DNS,323,1,75.75.75.75,1521397331.750487
42,10.0.2.15,46118,DNS,346,1,75.75.75.75,1521397331.752267
43,10.0.2.15,43790,DNS,159,1,75.75.75.75,1521397331.752276
44,10.0.2.15,35552,DNS,175,1,75.75.75.75,1521397331.762836
45,10.0.2.15,35552,DNS,247,1,75.75.75.75,1521397331.762848
46,10.0.2.15,54157,DNS,113,1,75.75.75.75,1521397331.762875
47,10.0.2.15,54157,DNS,137,1,75.75.75.75,1521397331.76317
48,10.0.2.15,43790,DNS,90,1,75.75.75.75,1521397331.769186
49,10.0.2.15,36048,DNS,151,1,75.75.75.75,1521397331.781403
50,75.75.75.75,53,DNS,81,0,10.0.2.15,1521397331.781784
51,75.75.75.75,53,DNS,81,0,10.0.2.15,1521397331.781868
52,10.0.2.15,42076,DNS,97,1,75.75.75.75,1521397331.802202
53,10.0.2.15,42076,DNS,109,1,75.75.75.75,1521397331.804366
54,75.75.75.75,53,DNS,93,0,10.0.2.15,1521397332.740565
55,75.75.75.75,53,DNS,93,0,10.0.2.15,1521397332.742552
56,10.0.2.15,46538,DNS,130,1,75.75.75.75,1521397332.764535
57,10.0.2.15,46538,DNS,195,1,75.75.75.75,1521397332.764546
58,162.212.156.148,53,DNS,80,0,10.0.2.15,1521397339.338002
59,10.0.2.15,43917,DNS,109,1,162.212.156.148,1521397339.353212
60,162.212.156.148,53,DNS,101,0,10.0.2.15,1521397339.353387
61,10.0.2.15,43917,DNS,155,1,162.212.156.148,1521397339.366759
62,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.371989
63,10.0.2.15,43917,DNS,166,1,162.212.156.148,1521397339.386101
64,162.212.156.148,53,DNS,121,0,10.0.2.15,1521397339.386174
65,10.0.2.15,43917,DNS,192,1,162.212.156.148,1521397339.401144
66,162.212.156.148,53,DNS,130,0,10.0.2.15,1521397339.401242
67,10.0.2.15,43917,DNS,215,1,162.212.156.148,1521397339.41555
68,162.212.156.148,53,DNS,136,0,10.0.2.15,1521397339.415643
69,10.0.2.15,43917,DNS,231,1,162.212.156.148,1521397339.429439
70,162.212.156.148,53,DNS,116,0,10.0.2.15,1521397339.4295
71,10.0.2.15,43917,DNS,179,1,162.212.156.148,1521397339.443212
72,162.212.156.148,53,DNS,132,0,10.0.2.15,1521397339.443313
73,10.0.2.15,43917,DNS,220,1,162.212.156.148,1521397339.484856
74,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.484945
75,10.0.2.15,43917,DNS,101,1,162.212.156.148,1521397339.497921
76,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.497996
77,10.0.2.15,43917,DNS,153,1,162.212.156.148,1521397339.512588
78,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.51265
79,10.0.2.15,43917,DNS,144,1,162.212.156.148,1521397339.526741
80,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.526802
81,10.0.2.15,43917,DNS,137,1,162.212.156.148,1521397339.541733
82,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.541801
83,10.0.2.15,43917,DNS,92,1,162.212.156.148,1521397339.57833
84,162.212.156.148,53,DNS,86,0,10.0.2.15,1521397339.578404
85,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397339.592399
86,162.212.156.148,53,DNS,89,0,10.0.2.15,1521397339.592468
87,10.0.2.15,43917,DNS,94,1,162.212.156.148,1521397339.606479
88,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397339.608921
89,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397340.60993
90,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397340.625564
91,162.212.156.148,53,DNS,88,0,10.0.2.15,1521397341.627916
92,10.0.2.15,43917,DNS,93,1,162.212.156.148,1521397341.645197
