	dest_port	dst	highest layer	host	length	src	timestamp
0	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397312.013774
1	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397312.031954
2	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397313.034562
3	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397313.050511
4	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397314.052148
5	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397314.068427
6	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397315.068838
7	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397315.083043
8	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397316.084064
9	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397316.100277
10	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397317.103274
11	43204	10.0.2.15	DNS	162.212.156.148	93	162.212.156.148	1521397317.119268
12	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397318.120046
13	43204	10.0.2.15	DNS	162.212.156.148	99	162.212.156.148	1521397318.138889
14	53	162.212.156.148	DNS	10.0.2.15	88	10.0.2.15	1521397319.141493
15	43204	10.0.2.15	DNS	162.212.156.148	99	162.212.156.148	1521397319.15556
16	53	75.75.75.75	DNS	10.0.2.15	70	10.0.2.15	1521397327.434411
17	45204	10.0.2.15	DNS	75.75.75.75	86	75.75.75.75	1521397327.452144
18	53	75.75.75.75	DNS	10.0.2.15	87	10.0.2.15	1521397327.46808
19	47111	10.0.2.15	DNS	75.75.75.75	157	75.75.75.75	1521397327.48311
20	53	75.75.75.75	DNS	10.0.2.15	69	10.0.2.15	1521397330.026521
21	51949	10.0.2.15	DNS	75.75.75.75	101	75.75.75.75	1521397330.045303
22	53	75.75.75.75	DNS	10.0.2.15	87	10.0.2.15	1521397330.103229
23	60816	10.0.2.15	DNS	75.75.75.75	146	75.75.75.75	1521397330.12167
24	53	75.75.75.75	DNS	10.0.2.15	92	10.0.2.15	1521397331.714014
25	53	75.75.75.75	DNS	10.0.2.15	90	10.0.2.15	1521397331.720505
26	53	75.75.75.75	DNS	10.0.2.15	92	10.0.2.15	1521397331.721296
27	53	75.75.75.75	DNS	10.0.2.15	80	10.0.2.15	1521397331.721603
28	53	75.75.75.75	DNS	10.0.2.15	80	10.0.2.15	1521397331.721677
29	53	75.75.75.75	DNS	10.0.2.15	74	10.0.2.15	1521397331.72474
30	53	75.75.75.75	DNS	10.0.2.15	74	10.0.2.15	1521397331.724823
31	53	75.75.75.75	DNS	10.0.2.15	79	10.0.2.15	1521397331.725097
32	53	75.75.75.75	DNS	10.0.2.15	79	10.0.2.15	1521397331.725158
33	58999	10.0.2.15	DNS	75.75.75.75	151	75.75.75.75	1521397331.744245
34	53	75.75.75.75	DNS	10.0.2.15	79	10.0.2.15	1521397331.744649
35	53523	10.0.2.15	DNS	75.75.75.75	153	75.75.75.75	1521397331.744728
36	53	75.75.75.75	DNS	10.0.2.15	79	10.0.2.15	1521397331.744759
37	53	75.75.75.75	DNS	10.0.2.15	81	10.0.2.15	1521397331.745166
38	53	75.75.75.75	DNS	10.0.2.15	81	10.0.2.15	1521397331.745228
39	57996	10.0.2.15	DNS	75.75.75.75	251	75.75.75.75	1521397331.748425
40	46118	10.0.2.15	DNS	75.75.75.75	250	75.75.75.75	1521397331.750473
41	57996	10.0.2.15	DNS	75.75.75.75	323	75.75.75.75	1521397331.750487
42	46118	10.0.2.15	DNS	75.75.75.75	346	75.75.75.75	1521397331.752267
43	43790	10.0.2.15	DNS	75.75.75.75	159	75.75.75.75	1521397331.752276
44	35552	10.0.2.15	DNS	75.75.75.75	175	75.75.75.75	1521397331.762836
45	35552	10.0.2.15	DNS	75.75.75.75	247	75.75.75.75	1521397331.762848
46	54157	10.0.2.15	DNS	75.75.75.75	113	75.75.75.75	1521397331.762875
47	54157	10.0.2.15	DNS	75.75.75.75	137	75.75.75.75	1521397331.76317
48	43790	10.0.2.15	DNS	75.75.75.75	90	75.75.75.75	1521397331.769186
49	36048	10.0.2.15	DNS	75.75.75.75	151	75.75.75.75	1521397331.781403
50	53	75.75.75.75	DNS	10.0.2.15	81	10.0.2.15	1521397331.781784
51	53	75.75.75.75	DNS	10.0.2.15	81	10.0.2.15	1521397331.781868
52	42076	10.0.2.15	DNS	75.75.75.75	97	75.75.75.75	1521397331.802202
53	42076	10.0.2.15	DNS	75.75.75.75	109	75.75.75.75	1521397331.804366
54	53	75.75.75.75	DNS	10.0.2.15	93	10.0.2.15	1521397332.740565
55	53	75.75.75.75	DNS	10.0.2.15	93	10.0.2.15	1521397332.742552
56	46538	10.0.2.15	DNS	75.75.75.75	130	75.75.75.75	1521397332.764535
57	46538	10.0.2.15	DNS	75.75.75.75	195	75.75.75.75	1521397332.764546
58	53	162.212.156.148	DNS	10.0.2.15	80	10.0.2.15	1521397339.338002
59	43917	10.0.2.15	DNS	162.212.156.148	109	162.212.156.148	1521397339.353212
60	53	162.212.156.148	DNS	10.0.2.15	101	10.0.2.15	1521397339.353387
61	43917	10.0.2.15	DNS	162.212.156.148	155	162.212.156.148	1521397339.366759
62	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.371989
63	43917	10.0.2.15	DNS	162.212.156.148	166	162.212.156.148	1521397339.386101
64	53	162.212.156.148	DNS	10.0.2.15	121	10.0.2.15	1521397339.386174
65	43917	10.0.2.15	DNS	162.212.156.148	192	162.212.156.148	1521397339.401144
66	53	162.212.156.148	DNS	10.0.2.15	130	10.0.2.15	1521397339.401242
67	43917	10.0.2.15	DNS	162.212.156.148	215	162.212.156.148	1521397339.41555
68	53	162.212.156.148	DNS	10.0.2.15	136	10.0.2.15	1521397339.415643
69	43917	10.0.2.15	DNS	162.212.156.148	231	162.212.156.148	1521397339.429439
70	53	162.212.156.148	DNS	10.0.2.15	116	10.0.2.15	1521397339.4295
71	43917	10.0.2.15	DNS	162.212.156.148	179	162.212.156.148	1521397339.443212
72	53	162.212.156.148	DNS	10.0.2.15	132	10.0.2.15	1521397339.443313
73	43917	10.0.2.15	DNS	162.212.156.148	220	162.212.156.148	1521397339.484856
74	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.484945
75	43917	10.0.2.15	DNS	162.212.156.148	101	162.212.156.148	1521397339.497921
76	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.497996
77	43917	10.0.2.15	DNS	162.212.156.148	153	162.212.156.148	1521397339.512588
78	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.51265
79	43917	10.0.2.15	DNS	162.212.156.148	144	162.212.156.148	1521397339.526741
80	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.526802
81	43917	10.0.2.15	DNS	162.212.156.148	137	162.212.156.148	1521397339.541733
82	53	162.212.156.148	DNS	10.0.2.15	86	10.0.2.15	1521397339.541801
83	43917	10.0.2.15	DNS	162.212.156.148	92	162.212.156.148	1521397339.57833
