	dest_ip	dest_port	highest layer	length	timestamp
0	172.17.0.2	8080	TCP	58	1521394900.952762
1	10.0.2.2	55952	TCP	58	1521394900.952817
2	172.17.0.2	8080	TCP	54	1521394900.952939
3	172.17.0.2	8080	HTTP	766	1521394900.952944
4	10.0.2.2	55952	TCP	54	1521394900.952983
5	10.0.2.2	55952	TCP	7354	1521394901.053331
6	10.0.2.2	55952	TCP	1754	1521394901.053442
7	172.17.0.2	8080	TCP	54	1521394901.053574
8	172.17.0.2	8080	TCP	54	1521394901.05358
9	172.17.0.2	8080	TCP	54	1521394901.053583
10	172.17.0.2	8080	TCP	54	1521394901.053585
11	172.17.0.2	8080	TCP	54	1521394901.053587
12	172.17.0.2	8080	TCP	54	1521394901.053589
13	172.17.0.2	8080	TCP	54	1521394901.053592
14	10.0.2.2	55952	TCP	525	1521394901.053671
15	172.17.0.2	8080	TCP	54	1521394901.053751
16	10.0.2.2	55952	DATA-TEXT-LINES	459	1521394901.056015
17	172.17.0.2	8080	TCP	54	1521394901.056201
18	172.17.0.2	8080	HTTP	703	1521394901.081545
19	10.0.2.2	55952	TCP	54	1521394901.081603
20	10.0.2.2	55952	TCP	5023	1521394901.083664
21	10.0.2.2	55952	DATA-TEXT-LINES	59	1521394901.083876
22	172.17.0.2	8080	TCP	54	1521394901.084384
23	172.17.0.2	8080	TCP	54	1521394901.084393
24	172.17.0.2	8080	TCP	54	1521394901.084396
25	172.17.0.2	8080	TCP	54	1521394901.084398
26	172.17.0.2	8080	TCP	54	1521394901.084401
27	172.17.0.2	8080	HTTP	765	1521394903.605212
28	10.0.2.2	55952	HTTP	211	1521394903.606702
29	172.17.0.2	8080	TCP	54	1521394903.606958
30	172.17.0.2	8080	HTTP	780	1521394903.610774
31	10.0.2.2	55952	TCP	7354	1521394903.644613
32	10.0.2.2	55952	TCP	1754	1521394903.644783
33	172.17.0.2	8080	TCP	54	1521394903.644849
34	172.17.0.2	8080	TCP	54	1521394903.644855
35	172.17.0.2	8080	TCP	54	1521394903.644857
36	172.17.0.2	8080	TCP	54	1521394903.644859
37	172.17.0.2	8080	TCP	54	1521394903.644975
38	172.17.0.2	8080	TCP	54	1521394903.644979
39	10.0.2.2	55952	TCP	525	1521394903.645023
40	172.17.0.2	8080	TCP	54	1521394903.645127
41	10.0.2.2	55952	DATA-TEXT-LINES	459	1521394903.649155
42	172.17.0.2	8080	TCP	54	1521394903.649601
43	172.17.0.2	8080	HTTP	717	1521394903.678907
44	10.0.2.2	55952	TCP	5023	1521394903.68048
45	172.17.0.2	8080	TCP	54	1521394903.680721
46	172.17.0.2	8080	TCP	54	1521394903.680727
47	172.17.0.2	8080	TCP	54	1521394903.680731
48	10.0.2.2	55952	DATA-TEXT-LINES	59	1521394903.680853
49	172.17.0.2	8080	TCP	54	1521394903.68189
50	172.17.0.2	8080	HTTP	854	1521394906.801015
51	10.0.2.2	55952	TCP	54	1521394906.839973
52	10.0.2.2	55952	TCP	7354	1521394907.434008
53	10.0.2.2	55952	TCP	1754	1521394907.43415
54	10.0.2.2	55952	TCP	928	1521394907.434278
