,action,calendarTime,columns_action,columns_atime,columns_category,columns_ctime,columns_gid,columns_hashed,columns_inode,columns_md5,columns_mode,columns_mtime,columns_name,columns_sha1,columns_sha256,columns_size,columns_target_path,columns_time,columns_transaction_id,columns_uid,counter,decorations_host_uuid,decorations_username,epoch,hostIdentifier,name,unixTime
0,added,Tue Feb  6 00:33:05 2018 UTC,,,,,,,,,,,hello,,,,,,,,38463,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,system_info,1517877185
1,added,Tue Feb  6 00:33:49 2018 UTC,CREATED,1517877228,etc,1517877228,0,1,159766,0d4f52b9dacac07cf2316d1686cc707c,0644,1517877228,,cffc9b8ead76006419975c0d22ba49d5fdf001a0,43d11069f7682e63289f38d184e4193f7486502f099250ceb4af7ac4bffb8209,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
2,added,Tue Feb  6 00:33:49 2018 UTC,CREATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/.osquery.conf.swx,1517877228,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
3,added,Tue Feb  6 00:33:49 2018 UTC,UPDATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/.osquery.conf.swx,1517877228,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
4,added,Tue Feb  6 00:33:49 2018 UTC,DELETED,,etc,,,0,,,,,,,,,\/etc\/osquery\/.osquery.conf.swx,1517877228,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
5,added,Tue Feb  6 00:33:49 2018 UTC,UPDATED,1517877228,etc,1517877228,0,1,159766,0d4f52b9dacac07cf2316d1686cc707c,0644,1517877228,,cffc9b8ead76006419975c0d22ba49d5fdf001a0,43d11069f7682e63289f38d184e4193f7486502f099250ceb4af7ac4bffb8209,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
6,added,Tue Feb  6 00:33:49 2018 UTC,DELETED,1517877228,etc,1517877228,0,0,159766,,0644,1517877228,,,,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
7,added,Tue Feb  6 00:33:49 2018 UTC,CREATED,1517877228,etc,1517877228,0,1,159766,0d4f52b9dacac07cf2316d1686cc707c,0644,1517877228,,cffc9b8ead76006419975c0d22ba49d5fdf001a0,43d11069f7682e63289f38d184e4193f7486502f099250ceb4af7ac4bffb8209,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
8,added,Tue Feb  6 00:33:49 2018 UTC,UPDATED,1517877228,etc,1517877228,0,1,159766,0d4f52b9dacac07cf2316d1686cc707c,0644,1517877228,,cffc9b8ead76006419975c0d22ba49d5fdf001a0,43d11069f7682e63289f38d184e4193f7486502f099250ceb4af7ac4bffb8209,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
9,added,Tue Feb  6 00:33:49 2018 UTC,ATTRIBUTES_MODIFIED,1517877228,etc,1517877228,0,0,159766,,0644,1517877228,,,,4096,\/etc\/osquery\/.osquery.conf.swp,1517877228,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877229
10,added,Tue Feb  6 00:33:53 2018 UTC,UPDATED,1517877228,etc,1517877232,0,1,159766,584db7f5f0be07e0f5d90e8c5fc7729e,0644,1517877232,,857c7fe0d0f10eb1b0fd2a9389f9813dc6f5d771,7bc1d39ce26ba665331b37328d1cf189d7cdd1acd2390217f36ded4f1d43df4a,4096,\/etc\/osquery\/.osquery.conf.swp,1517877232,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877233
11,added,Tue Feb  6 00:33:59 2018 UTC,CREATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/4913,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
12,added,Tue Feb  6 00:33:59 2018 UTC,ATTRIBUTES_MODIFIED,,etc,,,0,,,,,,,,,\/etc\/osquery\/4913,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
13,added,Tue Feb  6 00:33:59 2018 UTC,UPDATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/4913,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
14,added,Tue Feb  6 00:33:59 2018 UTC,DELETED,,etc,,,0,,,,,,,,,\/etc\/osquery\/4913,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
15,added,Tue Feb  6 00:33:59 2018 UTC,MOVED_FROM,1517877238,etc,1517877238,0,0,159799,,0644,1517877238,,,,2787,\/etc\/osquery\/osquery.conf,1517877238,10817,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
16,added,Tue Feb  6 00:33:59 2018 UTC,MOVED_TO,1517877156,etc,1517877238,0,0,159797,,0644,1517877147,,,,2824,\/etc\/osquery\/osquery.conf~,1517877238,10817,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
17,added,Tue Feb  6 00:33:59 2018 UTC,CREATED,1517877238,etc,1517877238,0,1,159799,6919c0a4b5cff0ce9cb8fc87ecb3d32c,0644,1517877238,,f74f448042bf0e4e4a62c23a59b8292d7952be53,bdade805968c5a6b1b78025b5de2cede8cb7462713b712eab31b5ae77b02640f,2787,\/etc\/osquery\/osquery.conf,1517877238,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
18,added,Tue Feb  6 00:33:59 2018 UTC,UPDATED,1517877238,etc,1517877238,0,1,159799,6919c0a4b5cff0ce9cb8fc87ecb3d32c,0644,1517877238,,f74f448042bf0e4e4a62c23a59b8292d7952be53,bdade805968c5a6b1b78025b5de2cede8cb7462713b712eab31b5ae77b02640f,2787,\/etc\/osquery\/osquery.conf,1517877238,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
19,added,Tue Feb  6 00:33:59 2018 UTC,UPDATED,1517877238,etc,1517877238,0,1,159799,6919c0a4b5cff0ce9cb8fc87ecb3d32c,0644,1517877238,,f74f448042bf0e4e4a62c23a59b8292d7952be53,bdade805968c5a6b1b78025b5de2cede8cb7462713b712eab31b5ae77b02640f,2787,\/etc\/osquery\/osquery.conf,1517877238,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
20,added,Tue Feb  6 00:33:59 2018 UTC,ATTRIBUTES_MODIFIED,1517877238,etc,1517877238,0,0,159799,,0644,1517877238,,,,2787,\/etc\/osquery\/osquery.conf,1517877238,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
21,added,Tue Feb  6 00:33:59 2018 UTC,UPDATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/.osquery.conf.swp,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
22,added,Tue Feb  6 00:33:59 2018 UTC,DELETED,,etc,,,0,,,,,,,,,\/etc\/osquery\/osquery.conf~,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
23,added,Tue Feb  6 00:33:59 2018 UTC,UPDATED,,etc,,,-1,,,,,,,,,\/etc\/osquery\/.osquery.conf.swp,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
24,added,Tue Feb  6 00:33:59 2018 UTC,DELETED,,etc,,,0,,,,,,,,,\/etc\/osquery\/.osquery.conf.swp,1517877238,0,,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877239
25,added,Tue Feb  6 00:34:06 2018 UTC,CREATED,1517877245,tmp,1517877245,0,1,29169,981cc3cb81307f7f9ccb0ccf1f9ed307,0644,1517877245,,6c55db1671b4fbf231564ef9d9cc42221ee5296a,80869725aec79cc6f8bfcf013fa1c33637941c0b946c058fb81a8d09329cedb8,297,\/tmp\/osqueryd.ubuntu.invalid-user.log.INFO.20180205-183405.2168,1517877245,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877246
26,added,Tue Feb  6 00:34:06 2018 UTC,DELETED,1517877245,tmp,1517877245,0,0,29169,,0644,1517877245,,,,297,\/tmp\/osqueryd.INFO,1517877245,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877246
27,added,Tue Feb  6 00:34:06 2018 UTC,CREATED,1517877245,tmp,1517877245,0,1,29169,981cc3cb81307f7f9ccb0ccf1f9ed307,0644,1517877245,,6c55db1671b4fbf231564ef9d9cc42221ee5296a,80869725aec79cc6f8bfcf013fa1c33637941c0b946c058fb81a8d09329cedb8,297,\/tmp\/osqueryd.INFO,1517877245,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877246
28,added,Tue Feb  6 00:34:06 2018 UTC,UPDATED,1517877245,tmp,1517877245,0,1,29169,981cc3cb81307f7f9ccb0ccf1f9ed307,0644,1517877245,,6c55db1671b4fbf231564ef9d9cc42221ee5296a,80869725aec79cc6f8bfcf013fa1c33637941c0b946c058fb81a8d09329cedb8,297,\/tmp\/osqueryd.ubuntu.invalid-user.log.INFO.20180205-183405.2168,1517877245,0,0,0,D5882FBF-1D65-4A30-B216-77F664B7D3B0,root,0,ubuntu,pack_fim_file_events,1517877246
